—	['——', '——', '——', '——', '—']
-	['-', 'text-decoration', 'text-decoration', 'text-decoration', 'font-size', 'font-size', 'font-size', 'TEXT-DECORATION', 'TEXT-DECORATION', 'z-index', 'z-index', 'z-index', 'font-family', 'font-family', 'font-family', 'background-color', 'background-color', 'background-color', 'FONT-SIZE', 'FONT-SIZE', 'E-mail', 'E-mail', 'E-mail', 'line-height', 'line-height', 'line-height', 'GOOD-BOY', 'GOOD-BOY', 'GOOD-BOY', 'T-X', 'T-X', 'F-SK', 'F-SK', 'F-SK', 'NEST-SOUND', 'NEST-SOUND', 'e-mail', 'e-mail', 'e-mail', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'shiliu-k', 'shiliu-k', 'shiliu-k', 'Stony-Moon', 'Stony-Moon', 'Stony-Moon', 'font-weight', 'font-weight', 'font-weight', 'BORDER-BOTTOM', 'BORDER-BOTTOM', 'BORDER-BOTTOM', 'FONT-FAMILY', 'FONT-FAMILY', 'MS-DOS', 'MS-DOS', 'MS-DOS', 'Xavier-Bati', 'Xavier-Bati', 'Xavier-Bati', 'TFT-LCD', 'TFT-LCD', 'K-DASH', 'K-DASH', 'K-DASH', 'SCROLLBAR-ARROW-COLOR', 'SCROLLBAR-ARROW-COLOR', 'SCROLLBAR-ARROW-COLOR', 'SCROLLBAR-ARROW-COLOR', 'SCROLLBAR-ARROW-COLOR', 'SCROLLBAR-ARROW-COLOR', 'SCROLLBAR-ARROW-COLOR', 'SCROLLBAR-ARROW-COLOR', 'SCROLLBAR-ARROW-COLOR', 'SCROLLBAR-ARROW-COLOR', 'E-MAIL', 'E-MAIL', 'E-MAIL', 'T-BAG', 'T-BAG', 'C-Cube', 'C-Cube', 'C-Cube', 'text-align', 'text-align', 'text-align', 'http-equiv', 'http-equiv', 'http-equiv', 'content-type', 'content-type', 'content-type', 'T-shirt', 'T-shirt', 'kevin-liuningOCR', 'kevin-liuningOCR', 'kevin-liuningOCR', 'sans-serif', 'sans-serif', 'sans-serif', 'CD-ROM', 'CD-ROM', 'CD-ROM', 'stay-night', 'stay-night', 'stay-night', 'G-G', 'G-G', 'G-G', 'border-left-color', 'border-left-color', 'border-left-color', 'border-left-color', 'border-left-color', 'border-left-color', 'border-left-color', 'border-left-color', 'border-left-color', 'border-left-color', 'BORDER-TOP-COLOR', 'BORDER-TOP-COLOR', 'BORDER-TOP-COLOR', 'BORDER-TOP-COLOR', 'BORDER-TOP-COLOR', 'BORDER-TOP-COLOR', 'BORDER-TOP-COLOR', 'BORDER-TOP-COLOR', 'BORDER-BOTTOM-COLOR', 'BORDER-BOTTOM-COLOR', 'BORDER-BOTTOM-COLOR', 'BORDER-BOTTOM-COLOR', 'BORDER-BOTTOM-COLOR', 'BORDER-BOTTOM-COLOR', 'BORDER-BOTTOM-COLOR', 'BORDER-BOTTOM-COLOR', 'BORDER-BOTTOM-COLOR', 'BORDER-BOTTOM-COLOR', 'BORDER-LEFT-COLOR', 'BORDER-LEFT-COLOR', 'BORDER-LEFT-COLOR', 'BORDER-LEFT-COLOR', 'BORDER-LEFT-COLOR', 'BORDER-LEFT-COLOR', 'BORDER-LEFT-COLOR', 'BORDER-LEFT-COLOR', 'BORDER-RIGHT-COLOR', 'BORDER-RIGHT-COLOR', 'BORDER-RIGHT-COLOR', 'BORDER-RIGHT-COLOR', 'BORDER-RIGHT-COLOR', 'BORDER-RIGHT-COLOR', 'BORDER-RIGHT-COLOR', 'BORDER-RIGHT-COLOR', 'border-bottom-color', 'border-bottom-color', 'border-bottom-color', 'border-bottom-color', 'border-bottom-color', 'border-bottom-color', 'border-bottom-color', 'border-bottom-color', 'border-bottom-color', 'border-bottom-color', 'MRP-II', 'MRP-II', 'A-Level', 'A-Level', 'SS-N', 'SS-N', 'SS-N', 'N-STAR', 'N-STAR', 'N-STAR', 'CLOSE-OPEN', 'CLOSE-OPEN', 'CLOSE-OPEN', 'E-Mail', 'E-Mail', 'E-Mail', 'E--Mail', 'E--Mail', 'E--Mail', 'E--Mail', 'E--Mail', 'E--Mail', 'MA-M', 'MA-M', 'SCROLLBAR-BASE-COLOR', 'SCROLLBAR-BASE-COLOR', 'SCROLLBAR-BASE-COLOR', 'SCROLLBAR-BASE-COLOR', 'SCROLLBAR-BASE-COLOR', 'SCROLLBAR-BASE-COLOR', 'SCROLLBAR-BASE-COLOR', 'SCROLLBAR-BASE-COLOR', 'SCROLLBAR-BASE-COLOR', 'SCROLLBAR-BASE-COLOR', 'Wing-king', 'Wing-king', 'Wing-king', 'SCROLLBAR-DARKSHADOW-COLOR', 'SCROLLBAR-DARKSHADOW-COLOR', 'SCROLLBAR-DARKSHADOW-COLOR', 'SCROLLBAR-DARKSHADOW-COLOR', 'SCROLLBAR-DARKSHADOW-COLOR', 'SCROLLBAR-DARKSHADOW-COLOR', 'SCROLLBAR-DARKSHADOW-COLOR', 'SCROLLBAR-DARKSHADOW-COLOR', 'SCROLLBAR-DARKSHADOW-COLOR', 'SCROLLBAR-DARKSHADOW-COLOR', 'WING-KING', 'WING-KING', 'WING-KING', 'Bye-Bye', 'Bye-Bye', 'Bye-Bye', 'SPIN-OFF', 'SPIN-OFF', 'SPIN-OFF', 'border-right-color', 'border-right-color', 'border-right-color', 'border-right-color', 'border-right-color', 'border-right-color', 'border-right-color', 'border-right-color', 'border-right-color', 'border-right-color', 'COOL-FIRE', 'COOL-FIRE', 'COOL-FIRE', 'H-H', 'H-H', 'H-H', 'MMI-GAU', 'MMI-GAU', 'MMI-GAU', 'n-e-t', 'n-e-t', 'n-e-t', 'n-e-t', 'n-e-t', 'n-e-t', 'n-e-t', 'n-e-t', 'n-e-t', 'n-e-t', 'PD-Boen', 'PD-Boen', 'PD-Boen', 'rM-rf', 'rM-rf', 'rM-rf', 'T-back', 'T-back', 'border-top-color', 'border-top-color', 'border-top-color', 'border-top-color', 'border-top-color', 'border-top-color', 'border-top-color', 'border-top-color', 'border-top-color', 'border-top-color', 'W-A-p', 'W-A-p', 'W-A-p', 'W-A-p', 'W-A-p', 'W-A-p', 'W-A-p', 'W-A-p', 'G-MAN', 'G-MAN', 'G-MAN', 'KING-CHARLE', 'KING-CHARLE', 'KING-CHARLE', 'W-N', 'W-N', 'W-N', 'Wi-Fi', 'Wi-Fi', 'Wi-Fi', 'B-I', 'B-I', 'B-I', 'Bit-Bit', 'Bit-Bit', 'Bit-Bit', 'Peter-Jacson', 'Peter-Jacson', 'Peter-Jacson', 'Good-bye', 'Good-bye', 'Good-bye', 'V-', 'V-', 'bye-bye', 'bye-bye', 'bye-bye', 'Chibrainbio-Guard', 'Chibrainbio-Guard', 'Chibrainbio-Guard', 'Bye-bye', 'Bye-bye', 'Bye-bye', 'c-n', 'c-n', 'c-n', 'M-Geschss', 'M-Geschss', 'M-Geschss', 'DMP-iplayer', 'DMP-iplayer', 'AG-U', 'AG-U', 'AG-U', 'F-X', 'F-X', 'F-X', 'Minh-Le', 'Minh-Le', 'Minh-Le', 'Jic-xiao', 'Jic-xiao', 'Jic-xiao', 'AE-f', 'AE-f', 'AE-f', 'Cold-call', 'Cold-call', 'Cold-call', 'FSN-HOLSTON', 'FSN-HOLSTON', 'FSN-HOLSTON', 'Key-in', 'Key-in', 'Key-in', 'k-g', 'k-g', 'k-g', 'GAT-X', 'GAT-X', 'BYE-BYE', 'BYE-BYE', 'BYE-BYE', 'Na-K', 'Na-K', 'Na-K', 'Chuang-tzu', 'Chuang-tzu', 'Chuang-tzu', 'T-Shirt', 'T-Shirt', 'Wal-Mart', 'Wal-Mart', 'Wal-Mart', 'date-n', 'date-n', 'date-n', 'border-left-style', 'border-left-style', 'border-left-style', 'border-left-style', 'border-left-style', 'border-left-style', 'border-left-style', 'border-left-style', 'border-left-style', 'border-left-style', 'Good-by', 'Good-by', 'Good-by', 'C-CUBE', 'C-CUBE', 'C-CUBE', 'R-U', 'R-U', 'R-U', 'McGraw-Hill', 'McGraw-Hill', 'CD-R', 'CD-R', 'CD-R', 'go-vern-ment', 'go-vern-ment', 'go-vern-ment', 'go-vern-ment', 'go-vern-ment', 'go-vern-ment', 'go-vern-ment', 'go-vern-ment', 'go-vern-ment', 'go-vern-ment', 'ST-X', 'ST-X', 'easy-cn', 'easy-cn', 'easy-cn', 'N-N', 'N-N', 'N-N', 'f-N', 'f-N', 'f-N', 'MMI-M', 'MMI-M', 'MMI-M', 'JU-dd', 'JU-dd', 'JU-dd', 'Cola-cola', 'Cola-cola', 'Cola-cola', 'Rolls-Royce', 'Rolls-Royce', 'Rolls-Royce', 'Q-DOS', 'Q-DOS', 'self-educationawareness', 'self-educationawareness', 'self-educationawareness', 'close-ref', 'close-ref', 'close-ref', 'Ex-S', 'Ex-S', 'Ex-S', 'E-Z', 'E-Z', 'E-Z', 'SA-N', 'SA-N', 'TEXT-ALIGN', 'TEXT-ALIGN', 'i-mode', 'i-mode', 'i-mode', 'CD-RW', 'CD-RW', 'CD-RW', 'Mad-Eye', 'Mad-Eye', 'Mad-Eye', 'MM-NO', 'MM-NO', 'MM-NO', 'Hsun-tzu', 'Hsun-tzu', 'Hsun-tzu', 'U-Matic', 'U-Matic', 'U-Matic']
「	['「']
」	['」']
!	['!']
．	['．', '0．5％', '0．5％', '0．5％', '0．5％', '2．5％', '2．5％', '2．5％', '2．5％', '1．5％', '1．5％', '1．5％', '1．5％', '９．５％', '９．５％', '９．５％', '９．５％', '3．5％', '3．5％', '3．5％', '3．5％', '0．3％', '0．3％', '0．3％', '0．3％', '7．5％', '7．5％', '7．5％', '7．5％', '０．５％', '０．５％', '０．５％', '０．５％', '4．3％', '4．3％', '4．3％', '4．3％', '0．8％', '0．8％', '0．8％', '0．8％', '１．５％', '１．５％', '１．５％', '１．５％']
~	['~', '?~', '?~', '?~', '?~']
－	['－']
咐	['吩咐', '嘱咐', '咐', '万嘱咐', '吩咐吩咐', '吩咐吩咐', '吩咐吩咐', '吩咐吩咐']
#	['#']
